gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2801842589,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS829977066,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Frampton Marsh RSPB Reserve,England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.9295,0.021372,,,,,,,2016-04-05T00:00:00,5,4,2016,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS829977066,,,,CC0_1_0,,obsr986795,,,2021-03-09T13:03:36.917Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801811076,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS887406971,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Bockhill,England,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.1573,1.39432,,,,,,,2019-10-25T00:00:00,25,10,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS887406971,,,,CC0_1_0,,obsr1074750,,,2021-03-09T13:06:22.099Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801781442,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS888302558,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Capel Fleet Raptor Viewpoint,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.3759,0.905042,,,,,,,2003-04-19T00:00:00,19,4,2003,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS888302558,,,,CC0_1_0,,obsr350730,,,2021-03-09T12:56:11.252Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801765221,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS857460807,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Grafham Water,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.2987,-0.314226,,,,,,,1993-04-25T00:00:00,25,4,1993,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS857460807,,,,CC0_1_0,,obsr839721,,,2021-03-09T13:05:19.670Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801747504,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS927537766,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Churn,England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.5367,-1.22533,,,,,,,2017-04-29T00:00:00,29,4,2017,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS927537766,,,,CC0_1_0,,obsr918130,,,2021-03-09T13:05:17.109Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801691537,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS860104187,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Drift Cafe,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,55.2373,-1.54645,,,,,,,2000-04-29T00:00:00,29,4,2000,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS860104187,,,,CC0_1_0,,obsr731665,,,2021-03-09T12:55:54.453Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801591235,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS932721912,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Beachy Head--Birling Gap,England,PRESENT,12,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.7399,0.203891,,,,,,,2019-10-04T00:00:00,4,10,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS932721912,,,,CC0_1_0,,obsr1147059,,,2021-03-09T13:05:45.243Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801571697,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS935144203,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Dungeness Bird Observatory Recording Area,England,PRESENT,11,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.9167,0.964449,,,,,,,2006-05-30T00:00:00,30,5,2006,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS935144203,,,,CC0_1_0,,obsr1533069,,,2021-03-09T12:56:46.343Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801523717,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS933190837,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Dungeness Bird Observatory Recording Area,England,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.9167,0.964449,,,,,,,2005-06-06T00:00:00,6,6,2005,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS933190837,,,,CC0_1_0,,obsr1533069,,,2021-03-09T12:56:25.735Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801450935,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_MT:OBS835791621,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,driving around Beechamwell with Allan Hale,England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.622,0.590957,,,,,,,2013-11-28T00:00:00,28,11,2013,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD_MT,OBS835791621,,,,CC0_1_0,,obsr288395,,,2021-03-09T12:56:03.593Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801444551,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS892428798,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Water Tower area,England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.9455,0.938382,,,,,,,2018-05-12T00:00:00,12,5,2018,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS892428798,,,,CC0_1_0,,obsr1278080,,,2021-03-09T12:57:34.672Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801432280,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS905724183,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Frampton Marsh RSPB Reserve,England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.9295,0.021372,,,,,,,2018-08-10T00:00:00,10,8,2018,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS905724183,,,,CC0_1_0,,obsr1298354,,,2021-03-09T12:55:13.659Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
